test,vulkan_pvmm,vulkan_chains_union,vulkan_chains_new,vulkan_pvmm_new,vulkan_pvmm_new2,vulkan_pvmm_new3,vulkan_pvmm_new4
,,,,,,,
2-f-graph-mp-semsc-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
2-f-graph-mp-semsc-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
2-f-graph-mp-semsc-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
2-f-graph-mp-avvis-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
2-f-graph-mp-avvis-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
3-f-graph-problem-semsc2-mp-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc2-mp-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc2-mp-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc2-mp-fences-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc2-mp-fences-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc2-mp-fences-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-fences-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-fences-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-fences-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-c-acqrel,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-d-acqrel,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-fence-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-fence-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
3-problem-race-asmo,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
3-problem-race-asmo-alt,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
,,,,,,,
3-new-race-wrr-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-new-race-wrw-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrw-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrw-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4.1.2-fix-semsc-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-rw-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-rw-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-r-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-r-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-w-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-w-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4-semsc-mp3,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-semsc-mp3-fail,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-semsc-mp3-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-semsc-mp3-fence-all,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-semsc-mp3-sc,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-semsc-mp3-sc-fail,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-semsc-mp3-sc-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-semsc-mp3-sc-fence-all,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4-ssw-sync-r-w,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4-ssw-sync-wr-r-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-r-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-r-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-r-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-r-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4-ssw-sync-wr-w-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-w-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-wr-w-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-wr-w-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-wr-w-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4-ssw-sync-rw-r-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-r-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-r-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-r-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-r-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4-ssw-sync-rw-w-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-w-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-rw-w-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-rw-w-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-sync-rw-w-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4-ssw-sync-w-wr-po-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-po-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-po-c,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
4-ssw-sync-w-wr-po-d,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
4-ssw-sync-w-wr-po-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4-ssw-sync-w-wr-inscope-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-inscope-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-inscope-c,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
4-ssw-sync-w-wr-inscope-d,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
4-ssw-sync-w-wr-inscope-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4-ssw-sync-w-wr-notinscope-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-notinscope-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-notinscope-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-notinscope-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS
4-ssw-sync-w-wr-notinscope-e,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,
4-ssw-av-ithb-ok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-av-ithb-nok,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS
4-ssw-vis-ithb-ok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-vis-ithb-nok,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS
4-ssw-both-ithb-ok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4-ssw-both-ithb-nok,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
x-barrier-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-e,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-f,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
x-sb,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-sb-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-sb-barrier-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-sb-barrier-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-sb-barrier-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-sb-barrier-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-sb-barrier-e,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-sb-barrier-f,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
x-barrier-overwrite-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-overwrite-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-overwrite-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-overwrite-d,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-overread-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-overread-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-barrier-overread-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-barrier-overread-d,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
,,,,,,,
x-avvis-mp-bad-fence,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-avvis-mp-bad-fence-acqrel,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-avvis-mp-bad-fence-avvis,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS
x-avvis-mp-bad-fence-avvis-acqrel,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS
x-avvis-mp-bad-fence-scope,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-avvis-mp-bad-scope,PASS,PASS,PASS,PASS,PASS,PASS,PASS
x-avvis-mp-good-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-avvis-mp-good-fence-scope-avvis,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-avvis-mp-good-scope-avvis,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
x-locord-rr-cycle,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
x-locord-rr-visibility,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,
extra-mp3-fence-order-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
extra-mp3-fence-order-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
extra-mp3-fence-order-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,
extra-mp3-barrier,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
extra-mp3-barrier-fence,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
